excel_region,match_status,polity_code,parent_code,has_polygon,polygon_source,quality_tier,needs_subnational
us puerto rico (trade with foreign countries),matched,PRI-1800-2025,,True,GADM 4.1,1,False
us puerto rico (trade with the united states),matched,PRI-1800-2025,,True,GADM 4.1,1,False
us samoa,matched,ASM-1900-2025,,True,GADM 4.1,1,False
us virgin islands,matched,VIR-1800-2025,,True,GADM 4.1,1,False
usa,matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (non-production area),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (not wine grapes),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (production area),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (raisins),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (table grapes),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (total and production area),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (total area),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (trade with alaska),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (trade with foreign countries),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (trade with hawaii),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (trade with puerto rico),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (vines for wine),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa (wine grapes),matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa and canada,matched,USA-1800-1959,,True,CShapes 2.0 (1886-1959),1,False
usa: california,subnational,USA-1800-1959,USA-1800-1959,True,GADM admin-1: USA [California],2,True
usa: louisiana and florida,subnational,USA-1800-1959,USA-1800-1959,True,"GADM admin-1 merged: USA [Louisiana, Florida]",2,True
"usa: other states different from alaska, california, louisiana and florida",subnational,USA-1800-1959,USA-1800-1959,True,"GADM admin-0 minus admin-1: USA - [Alaska, California, Louisiana, Florida]",3,True
ussr,matched,F228-1921-1940,,True,CShapes 2.0 (1921-1940),1,False
ussr in asia,subnational,F228-1921-1940,F228-1921-1940,False,,,True
ussr in europe,subnational,F228-1921-1940,F228-1921-1940,False,,,True
ussr: khibiny,subnational,F228-1921-1940,F228-1921-1940,False,,,True
ussr: transcaucasian sfsr,subnational,F228-1921-1940,F228-1921-1940,True,"CShapes 2.0 merged: Georgia, Armenia, Azerbaijan",2,True
venezuela,matched,VEN-1821-2025,,True,CShapes 2.0 (1886-2019),1,False
yugoslavia,matched,F248-1920-1991,,True,CShapes 2.0 (1944-1991),1,False
