polity_code,polity_name,polity_type,continent,start_year,end_year,iso3_code,node_type,in_degree,out_degree,total_degree
ITS-1908-2025,Italian Somaliland,aggregate,Africa,1908,2025,ITS,polity,0,1,1
FEA-1910-2025,French Equatorial Africa,aggregate,Africa,1910,2025,FEA,polity,0,1,1
ITL-1911-2025,Italian Libia Cyrenaica (Lybia),aggregate,Africa,1911,2025,ITL,polity,0,1,1
BCA-1914-2025,British Cameroon,aggregate,Africa,1914,2025,BCA,polity,0,1,1
RWB-1919-2025,Rwanda and Burundi,aggregate,Africa,1919,2025,RWB,polity,0,1,1
ATA-1800-2025,Antarctica,dependency,Antarctica,1800,2025,ATA,polity,0,1,1
BVT-1800-2025,Bouvet Island,dependency,Antarctica,1800,2025,BVT,polity,0,1,1
DRO-1800-1982,Dronning Maud Land,dependency,Antarctica,1800,1982,DRO,polity,0,1,1
ATF-1800-2025,French Southern Territories,dependency,Antarctica,1800,2025,ATF,polity,1,1,2
BHR-1800-2025,Bahrain,sovereign,Asia,1800,2025,BHR,polity,2,1,3
BTN-1800-2025,Bhutan,sovereign,Asia,1800,2025,BTN,polity,1,1,2
IRN-1800-1828,Persia (Qajar to 1828),historical,Asia,1800,1828,IRN,polity,0,4,4
IRN-1828-2025,Iran,sovereign,Asia,1828,2025,IRN,polity,4,1,5
JPN-1800-2025,Japan,aggregate,Asia,1800,2025,JPN,polity,47,5,52
KWT-1800-2025,Kuwait,sovereign,Asia,1800,2025,KWT,polity,2,1,3
MDV-1800-2025,Maldives,sovereign,Asia,1800,2025,MDV,polity,1,1,2
MMR-1800-2025,Myanmar,aggregate,Asia,1800,2025,MMR,polity,0,5,5
NPL-1800-2025,Nepal,aggregate,Asia,1800,2025,NPL,polity,0,3,3
OMN-1800-2025,Oman,aggregate,Asia,1800,2025,OMN,polity,0,3,3
PHL-1800-2025,Philippines,sovereign,Asia,1800,2025,PHL,polity,2,1,3
QAT-1800-2025,Qatar,sovereign,Asia,1800,2025,QAT,polity,2,1,3
LKA-1800-2025,Sri Lanka,sovereign,Asia,1800,2025,LKA,polity,1,1,2
TLS-1800-2025,Timor-Leste,sovereign,Asia,1800,2025,TLS,polity,2,1,3
CYP-1879-2025,Cyprus,sovereign,Asia,1879,2025,CYP,polity,2,1,3
BRN-1888-2025,Brunei Darussalam,sovereign,Asia,1888,2025,BRN,polity,5,1,6
THA-1909-2025,Thailand,sovereign,Asia,1909,2025,THA,polity,5,1,6
MNG-1911-2025,Mongolia,sovereign,Asia,1911,2025,MNG,polity,2,1,3
JOR-1918-2025,Jordan,sovereign,Asia,1918,2025,JOR,polity,2,1,3
AFG-1919-2025,Afghanistan,sovereign,Asia,1919,2025,AFG,polity,1,1,2
IRQ-1921-2025,Iraq,sovereign,Asia,1921,2025,IRQ,polity,2,1,3
LBN-1944-2025,Lebanon,sovereign,Asia,1944,2025,LBN,polity,2,1,3
PRK-1948-2025,North Korea,sovereign,Asia,1948,2025,PRK,polity,2,1,3
