unit_kind,key,status,issue_id,evidence_hash,last_run,last_commit
polity,DNK-1920-2025,correct,,f0e7865368688c07,2026-06-29,
polity,DZA-1886-1902,correct,,7069ebd7b0eecaa7,2026-06-29,
polity,DZA-1902-1919,correct,,7e7c90cb0e1e515c,2026-06-29,
polity,DZA-1919-1962,correct,,79a8a494abc4d694,2026-06-29,
polity,ECU-1800-1942,correct,,26dfc0179a7f9cc7,2026-06-29,
polity,ECU-1942-2025,correct,,26dfc0179a7f9cc7,2026-06-29,
polity,EGY-1899-1925,correct,,3503c995efd10c82,2026-06-29,
polity,EGY-1925-1967,correct,,6a9f5b67aafdb11e,2026-06-29,
polity,EST-1800-1918,correct,,da8a02cf94063087,2026-06-29,
polity,EST-1918-1940,correct,,da8a02cf94063087,2026-06-29,
polity,ETH-1952-1993,correct,,be31f724196bda8e,2026-06-29,
polity,FCC-1862-1887,correct,,1cbdc161e8247435,2026-06-29,
polity,FIN-1809-1917,correct,,9988117d24803007,2026-06-29,
polity,FIN-1917-1940,correct,,a2fbeb11becc306b,2026-06-29,
polity,FIN-1940-2025,correct,,2aec765922b1f990,2026-06-29,
polity,FRA-1919-2025,correct,,628be8bcfdea6ca6,2026-06-29,
polity,GAB-1839-1912,correct,,794c8d3d7c504356,2026-06-29,
polity,GAB-1912-1919,correct,,3b80992258bdcb29,2026-06-29,
polity,GAB-1919-1960,correct,,8290e593b31183dc,2026-06-29,
polity,GBR-1800-1921,correct,,2734797d50beadd6,2026-06-29,
polity,GBR-1921-2025,correct,,2734797d50beadd6,2026-06-29,
polity,GHA-1888-1898,correct,,24ead62a7e965089,2026-06-29,
polity,GHA-1898-1956,correct,,8276aaa6268d2788,2026-06-29,
polity,GHA-1957-2025,correct,,caa1160c4e4a4071,2026-06-29,
polity,GIN-1894-1958,correct,,6220a8a8cbd9ec6d,2026-06-29,
polity,GIN-1958-2025,correct,,6220a8a8cbd9ec6d,2026-06-29,
polity,GNGU-1884-1914,correct,,,2026-06-29,
polity,GRC-1913-1919,correct,,dfe620c7d19b17f5,2026-06-29,
polity,GUF-1816-1946,correct,,b24db975eefc8136,2026-06-29,
match,Canada (Confederation era to 1886),fixed,,,2026-06-30,
match,China (1932-1945),fixed,,,2026-06-29,
match,Germany (1938-1945),unreviewed,,,2026-06-29,
match,Algeria (1831-1886),fixed,,,2026-06-29,
match,Egypt (to 1899),fixed,,,2026-06-29,
match,Ethiopia (1907-1952),fixed,,,2026-06-29,
match,French Cameroon (1920-1960),fixed,,,2026-06-29,
match,France (to 1919),fixed,,,2026-06-29,
match,French India (Établissements français dans l'Inde),fixed,,,2026-06-29,
match,German Kamerun,fixed,,,2026-06-29,
match,Greece (to 1913),fixed,,,2026-06-29,
match,Greece,fixed,,,2026-06-29,
polity,CAN-1800-1866,correct,,9923ca17c75a6b44,2026-06-30,
polity,CHN-1949-1950,correct,,c106a3f0c795ca61,2026-06-30,
polity,DEU-1938-1945,correct,,48cc58b6cecaf878,2026-06-30,
polity,DZA-1831-1886,correct,,c71a3d074af9b023,2026-06-30,
polity,EGY-1820-1885,correct,,,2026-06-30,
polity,EGY-1885-1899,correct,,,2026-06-30,
