source,country,item,unit,indicator,year,n_rows,values,largest,sum_of_rest,ratio,verdict
fao1952,belgian congo,horses mules asses,1000 heads,livestock:livestock,1950,2,2;1,2,1,2.0000,siblings_only
fao1952,belgian congo,horses mules asses,1000 heads,livestock:livestock,1951,2,2;1,2,1,2.0000,siblings_only
fao1952,belgium,horses mules asses,1000 heads,livestock:livestock,1939,2,246;12,246,12,20.5000,siblings_only
fao1952,belgium,horses mules asses,1000 heads,livestock:livestock,1949,2,267;2,267,2,133.5000,siblings_only
fao1952,belgium,horses mules asses,1000 heads,livestock:livestock,1950,2,266;2,266,2,133.0000,siblings_only
fao1952,belgium,horses mules asses,1000 heads,livestock:livestock,1951,2,249;2,249,2,124.5000,siblings_only
fao1952,bolivia,horses mules asses,1000 heads,livestock:livestock,1938,3,273;232;100,273,332,0.8223,siblings_only
fao1952,brazil,horses mules asses,1000 heads,livestock:livestock,1939,3,6583;2645;1300,6583,3945,1.6687,siblings_only
fao1952,brazil,horses mules asses,1000 heads,livestock:livestock,1949,3,6928;3097;536,6928,3633,1.9070,siblings_only
fao1952,brazil,horses mules asses,1000 heads,livestock:livestock,1951,3,6937;3101;572,6937,3673,1.8886,siblings_only
fao1952,british cameroons,horses mules asses,1000 heads,livestock:livestock,1938,2,17;8,17,8,2.1250,siblings_only
fao1952,british guiana,horses mules asses,1000 heads,livestock:livestock,1939,3,8;3;2,8,5,1.6000,siblings_only
fao1952,british guiana,horses mules asses,1000 heads,livestock:livestock,1949,3,9;2;2,9,4,2.2500,siblings_only
fao1952,british guiana,horses mules asses,1000 heads,livestock:livestock,1950,3,6;3;2,6,5,1.2000,siblings_only
fao1952,british honduras,horses mules asses,1000 heads,livestock:livestock,1949,2,2;1,2,1,2.0000,siblings_only
fao1952,british west indies barbados,horses mules asses,1000 heads,livestock:livestock,1939,2,3;2,3,2,1.5000,siblings_only
fao1952,british west indies jamaica,horses mules asses,1000 heads,livestock:livestock,1951,3,51;25;13,51,38,1.3421,siblings_only
fao1952,british west indies leeward islands,horses mules asses,1000 heads,livestock:livestock,1951,3,5;2;1,5,3,1.6667,siblings_only
fao1952,bulgaria,horses mules asses,1000 heads,livestock:livestock,1939,3,584;165;34,584,199,2.9347,siblings_only
fao1952,burma,horses mules asses,1000 heads,livestock:livestock,1938,2,51;1,51,1,51.0000,siblings_only
fao1952,burma,horses mules asses,1000 heads,livestock:livestock,1949,2,12;1,12,1,12.0000,siblings_only
fao1952,burma,horses mules asses,1000 heads,livestock:livestock,1950,2,12;1,12,1,12.0000,siblings_only
fao1952,cape verde islands,horses mules asses,1000 heads,livestock:livestock,1939,3,7;1;1,7,2,3.5000,siblings_only
fao1952,chile,horses mules asses,1000 heads,livestock:livestock,1935,3,528;52;41,528,93,5.6774,siblings_only
fao1952,china 22 provinces,horses mules asses,1000 heads,livestock:livestock,1937,2,9018;3624,9018,3624,2.4884,siblings_only
fao1952,china 22 provinces,horses mules asses,1000 heads,livestock:livestock,1949,3,2023;1905;1561,2023,3466,0.5837,siblings_only
fao1952,china manchuria,horses mules asses,1000 heads,livestock:livestock,1937,3,800;620;565,800,1185,0.6751,siblings_only
fao1952,colombia,horses mules asses,1000 heads,livestock:livestock,1938,3,930;440;287,930,727,1.2792,siblings_only
fao1952,colombia,horses mules asses,1000 heads,livestock:livestock,1951,3,1296;542;461,1296,1003,1.2921,siblings_only
fao1952,costa rica,horses mules asses,1000 heads,livestock:livestock,1929,2,85;8,85,8,10.6250,siblings_only
fao1952,costa rica,horses mules asses,1000 heads,livestock:livestock,1950,2,77;7,77,7,11.0000,siblings_only
fao1952,cuba,horses mules asses,1000 heads,livestock:livestock,1939,3,572;77;3,572,80,7.1500,siblings_only
