polity_code,start_year,end_year,cow_code,polity_type,our_source,our_km2,border_verdict,n_reference_borders,reference_covers,reference_bookkeeping_steps,reference_km2_at_start,reference_km2_at_end,max_step_ratio,change_years,reference_iou,source_gap_pct
MKY-1918-1962,1918,1962,679,national,cshapes-2.0,136644,no_reference,0,,0,,,,,,
MLI-1890-1960,1890,1960,432,national,cshapes-2.0,1736506,changed,5,1905-1959,1,1736746,1252292,1.186,1919;1932;1944;1947,0.999,-0.01
MLI-1960-2025,1960,2025,432,national,cshapes-2.0,1252088,stable_where_covered,1,1960-2019,0,1252292,1252292,,,0.999,-0.02
MLT-1800-2025,1800,2025,,national,cshapes-2.0,292,no_reference,0,,0,,,,,,
MMR-1800-1826,1800,1826,,national,cliopatria,797891,no_reference,0,,0,,,,,,
MMR-1826-1852,1826,1852,,national,cliopatria,552405,no_reference,0,,0,,,,,,
MMR-1852-1885,1852,1885,,national,cliopatria,436997,no_reference,0,,0,,,,,,
MMR-1885-2025,1885,2025,,national,cliopatria,675971,no_reference,0,,0,,,,,,
MMR-LWR-1852-1885,1852,1885,,colonial,constructed,115667,no_reference,0,,0,,,,,,
MNE-1878-1913,1878,1913,341,national,cshapes-europe,9944,stable_where_covered,1,1886-1912,0,9950,9950,,,0.982,-0.06
MNE-1913-1915,1913,1915,341,national,cshapes-2.0,9941,stable_confirmed,1,1913-1914,0,15907,15907,,,0.623,-37.5
MNE-1913-1918,1913,1918,341,national,cshapes-2.0,15922,stable_confirmed,1,1913-1917,1,15907,15907,,,0.994,0.09
MNE-2006-2025,2006,2025,341,national,cshapes-2.0,14010,stable_where_covered,1,2006-2019,0,14010,14010,,,0.995,-0.0
MNG-1911-1921,1911,1921,,national,cshapes-2.0,1563034,no_reference,0,,0,,,,,,
MNG-1921-2025,1921,2025,712,national,cshapes-2.0,1563034,stable_where_covered,1,1921-2019,0,1562924,1562924,,,0.999,0.01
MNP-1986-2025,1986,2025,,territory,gadm-4.1-adm0,503,no_reference,0,,0,,,,,,
MOR-1800-1904,1800,1904,,national,cliopatria,387611,no_reference,0,,0,,,,,,
MOR-1904-1911,1904,1911,,national,cliopatria,358068,no_reference,0,,0,,,,,,
