"year","country","iso_draft","polity_name","FAOSTAT_name","item","item_code","value","unit","area_code","region","region_UN","iso3c","polity_code","Source","source_file","sheet"
1903,"Australia","AUS","Australia","Australia","Oats",75,318000,"tonnes",10,"Oceania","Oceania","AUS","AUS","mitchell","page101-150.xlsx","page_16_table_1"
1903,"Australia","AUS","Australia","Australia","Swine / pigs",1034,536000,"heads",10,"Oceania","Oceania","AUS","AUS","mitchell","Livestock pt II (extracted from 301-350).xlsx","page_9_table_1"
1903,"Australia","AUS","Australia","Australia","Potatoes",116,47000,"ha",10,"Oceania","Oceania","AUS","AUS","mitchell","page51-100.xlsx","page_3_table_1"
1903,"Australia","AUS","Australia","Australia","Potatoes",116,457000,"tonnes",10,"Oceania","Oceania","AUS","AUS","mitchell","page101-150.xlsx","page_16_table_1"
1903,"Australia","AUS","Australia","Australia","Sheep",976,53675000,"heads",10,"Oceania","Oceania","AUS","AUS","mitchell","Livestock pt II (extracted from 301-350).xlsx","page_9_table_1"
1903,"Australia","AUS","Australia","Australia","Sugar cane",156,53000,"ha",10,"Oceania","Oceania","AUS","AUS","mitchell","Sugar (extracted from 101-150).xlsx","Copia de page_41_table_1"
1903,"Australia","AUS","Australia","Australia","Sugar cane",156,113000,"tonnes",10,"Oceania","Oceania","AUS","AUS","mitchell","Sugar (extracted from 101-150).xlsx","Copia de page_41_table_1 (2)"
1903,"Australia","AUS","Australia","Australia","Wheat",15,2253000,"ha",10,"Oceania","Oceania","AUS","AUS","mitchell","page51-100.xlsx","page_3_table_1"
1903,"Australia","AUS","Australia","Australia","Wheat",15,2018000,"tonnes",10,"Oceania","Oceania","AUS","AUS","mitchell","page101-150.xlsx","page_16_table_1"
1903,"Australia","AUS","Australia","Australia","Wine",564,28215,"tonnes",10,"Oceania","Oceania","AUS","AUS","mitchell","page151-200.xlsx","page_42_table_1"
